item_id,item_name
i1,almonds
i2,antioxydant juice
i3,asparagus
i4,avocado
i5,babies food
i6,bacon
i7,barbecue sauce
i8,black tea
i9,blueberries
i10,body spray
i11,bramble
i12,brownies
i13,bug spray
i14,burger sauce
i15,burgers
i16,butter
i17,cake
i18,candy bars
i19,carrots
i20,cauliflower
i21,cereals
i22,champagne
i23,chicken
i24,chili
i25,chocolate
i26,chocolate bread
i27,chutney
i28,cider
i29,clothes accessories
i30,cookies
i31,cooking oil
i32,corn
i33,cottage cheese
i34,cream
i35,dessert wine
i36,eggplant
i37,eggs
i38,energy bar
i39,energy drink
i40,escalope
i41,extra dark chocolate
i42,flax seed
i43,french fries
i44,french wine
i45,fresh bread
i46,fresh tuna
i47,fromage blanc
i48,frozen smoothie
i49,frozen vegetables
i50,gluten free bar
i51,grated cheese
i52,green beans
i53,green grapes
i54,green tea
i55,ground beef
i56,gums
i57,ham
i58,hand protein bar
i59,herb & pepper
i60,honey
i61,hot dogs
i62,ketchup
i63,light cream
i64,light mayo
i65,low fat yogurt
i66,magazines
i67,mashed potato
i68,mayonnaise
i69,meatballs
i70,melons
i71,milk
i72,mineral water
i73,mint
i74,mint green tea
i75,muffins
i76,mushroom cream sauce
i77,napkins
i78,nonfat milk
i79,oatmeal
i80,oil
i81,olive oil
i82,pancakes
i83,parmesan cheese
i84,pasta
i85,pepper
i86,pet food
i87,pickles
i88,protein bar
i89,red wine
i90,rice
i91,salad
i92,salmon
i93,salt
i94,sandwich
i95,shallot
i96,shampoo
i97,shrimp
i98,soda
i99,soup
i100,spaghetti
i101,sparkling water
i102,spinach
i103,strawberries
i104,strong cheese
i105,tea
i106,tomato juice
i107,tomato sauce
i108,tomatoes
i109,toothpaste
i110,turkey
i111,vegetables mix
i112,water spray
i113,white wine
i114,whole weat flour
i115,whole wheat pasta
i116,whole wheat rice
i117,yams
i118,yogurt cake
i119,zucchini
