sequence_id,pos,item
s1,1,i43
s1,2,i32
s1,2,i42
s1,3,i1
s1,3,i22
s1,4,i1
s1,4,i14
s1,4,i29
s1,5,i1
s1,5,i22
s1,5,i3
s1,5,i57
s1,6,i1
s1,6,i103
s1,6,i2
s1,6,i6
s1,7,i23
s1,7,i41
s1,7,i57
s2,1,i18
s2,2,i1
s2,2,i20
s2,2,i37
s2,3,i114
s2,3,i69
s2,3,i72
s2,4,i27
s2,4,i3
s2,4,i7
s2,5,i24
s2,5,i41
s2,6,i11
s2,6,i4
s2,7,i33
s2,7,i66
s2,8,i56
s2,8,i60
s2,9,i3
s2,10,i14
s2,10,i3
s2,10,i78
s2,11,i3
s2,11,i4
s2,12,i10
s2,12,i21
s2,12,i44
s3,1,i1
s3,1,i26
s3,2,i12
s3,2,i22
s3,2,i7
s3,3,i33
s3,3,i78
s3,4,i1
s3,4,i4
s3,4,i48
s3,4,i6
s3,5,i109
s3,5,i14
s3,5,i26
s3,5,i47
s3,6,i2
s3,6,i47
s3,7,i23
s3,8,i92
s4,1,i1
s4,1,i76
s4,2,i30
s4,2,i41
s4,3,i1
s4,3,i12
s4,3,i31
s4,4,i105
s4,4,i16
s4,4,i23
s4,4,i32
s4,4,i33
s4,5,i34
s4,5,i38
s4,5,i8
s4,6,i1
s4,6,i10
s4,6,i15
s4,7,i1
s4,7,i18
s4,7,i21
s4,7,i37
s4,8,i3
s4,9,i1
s4,9,i3
s4,9,i31
s4,10,i40
s4,10,i77
s5,1,i30
s5,2,i114
s5,2,i12
s5,2,i32
s5,2,i41
s5,2,i8
s5,3,i1
s5,3,i2
s5,3,i55
s5,4,i4
s5,4,i9
s5,5,i10
s5,6,i1
s5,7,i107
s6,1,i1
s6,1,i13
s6,1,i3
s6,1,i8
s6,2,i11
s6,2,i4
s6,2,i52
s6,2,i9
s6,3,i107
s6,3,i2
s6,3,i21
s6,3,i4
s6,4,i1
s6,4,i14
s6,4,i21
s6,5,i1
s6,5,i14
s6,6,i22
s6,7,i8
s6,7,i97
s6,8,i25
s7,1,i2
s7,1,i39
s7,1,i94
s7,2,i1
s7,2,i11
s7,2,i28
s7,2,i92
s7,3,i11
s7,4,i1
s7,5,i1
s7,5,i2
s7,5,i6
s7,6,i2
s7,6,i36
s7,6,i63
s7,7,i31
s7,8,i1
s7,8,i96
s7,9,i4
s7,9,i43
s7,10,i2
s7,10,i39
s7,11,i14
s7,11,i27
s7,11,i3
s7,11,i85
s7,12,i1
s7,12,i6
s7,13,i18
s7,13,i43
s7,14,i1
s8,1,i63
s8,2,i1
s8,2,i10
s8,3,i82
s8,4,i31
s8,4,i6
s8,5,i109
s8,5,i3
s8,5,i44
s8,5,i55
s8,5,i91
s8,6,i1
s8,6,i77
s8,7,i31
s8,7,i51
s8,7,i9
s8,8,i4
s8,8,i52
s8,8,i74
s9,1,i11
s9,1,i59
s9,2,i3
s9,2,i30
s9,3,i107
s9,3,i4
s9,3,i72
s9,4,i1
s9,4,i33
s9,4,i5
s9,4,i66
s9,5,i10
s9,5,i105
s9,5,i2
s9,5,i4
s9,6,i1
s9,6,i10
s9,6,i114
s9,7,i3
s9,7,i37
s9,7,i91
s9,8,i1
s9,8,i7
s9,9,i1
s9,9,i25
s9,9,i30
s10,1,i1
s10,1,i4
s10,1,i8
s10,2,i24
s10,2,i32
s10,2,i5
s10,2,i83
s10,3,i5
s10,4,i10
s10,4,i12
s10,4,i3
s10,5,i30
s10,5,i4
s10,6,i1
s10,6,i101
s10,6,i3
s10,7,i1
s10,7,i2
s10,8,i11
s10,9,i39
s10,9,i7
s10,10,i1
s10,10,i29
s10,11,i50
s10,12,i1
s10,12,i11
s10,12,i3
s10,12,i67
s11,1,i100
s11,1,i24
s11,1,i80
s11,2,i18
s11,2,i43
s11,2,i62
s11,2,i82
s11,3,i4
s11,3,i45
s11,3,i65
s11,4,i1
s11,4,i26
s11,4,i4
s11,5,i1
s11,5,i2
s11,5,i7
s11,5,i8
s11,5,i80
s11,6,i1
s11,6,i37
s11,6,i9
s11,7,i3
s11,7,i30
s11,7,i84
s11,7,i9
s11,8,i31
s11,8,i69
s11,9,i12
s11,9,i32
s11,9,i33
s11,9,i5
s11,9,i8
s11,9,i97
s11,10,i17
s11,10,i34
s11,10,i42
s11,10,i55
s11,10,i82
s11,11,i1
s11,11,i10
s11,11,i6
s11,12,i112
s11,12,i40
s11,12,i65
s11,12,i89
s11,13,i1
s11,13,i10
s11,13,i22
s11,13,i30
s11,14,i1
s11,14,i7
s12,1,i1
s12,1,i120
s12,1,i17
s12,1,i2
s12,1,i6
s12,2,i3
s12,2,i45
s12,3,i25
s12,3,i4
s12,3,i5
s12,3,i65
s12,4,i19
s12,4,i3
s12,4,i31
s12,4,i36
s12,5,i105
s12,5,i23
s12,5,i50
s12,5,i51
s12,6,i1
s12,6,i106
s12,6,i5
s12,6,i52
s12,7,i1
s12,7,i34
s12,7,i38
s12,7,i8
s13,1,i1
s13,1,i28
s13,1,i30
s13,2,i1
s13,2,i104
s13,2,i27
s13,2,i62
s13,3,i15
s13,3,i2
s13,3,i24
s13,3,i29
s13,4,i12
s13,4,i22
s13,4,i5
s13,4,i61
s13,5,i4
s13,6,i13
s13,6,i20
s13,6,i31
s13,6,i6
s13,7,i3
s13,7,i55
s13,7,i6
s13,7,i76
s13,8,i15
s13,8,i18
s13,8,i2
s13,9,i13
s13,9,i28
s13,9,i34
s13,9,i46
s13,10,i1
s13,11,i21
s13,11,i5
s14,1,i11
s14,1,i5
s14,1,i6
s14,2,i43
s14,2,i5
s14,3,i2
s14,3,i42
s14,4,i112
s14,4,i4
s14,4,i63
s14,5,i1
s14,5,i16
s14,5,i4
s14,6,i1
s14,6,i35
s14,6,i73
s14,7,i20
s14,8,i1
s14,8,i106
s14,8,i3
s14,8,i6
s14,8,i71
s14,9,i1
s14,9,i2
s14,9,i26
s14,10,i1
s14,10,i19
s14,10,i3
s14,11,i50
s14,11,i7
s14,12,i116
s14,12,i5
s14,12,i70
s15,1,i26
s15,1,i3
s15,1,i30
s15,1,i4
s15,2,i2
s15,2,i31
s15,3,i3
s15,3,i32
s15,3,i33
s15,3,i36
s15,3,i37
s15,3,i4
s15,4,i34
s15,4,i52
s15,4,i90
s15,5,i17
s15,5,i9
s15,6,i1
s15,6,i2
s15,6,i61
s15,7,i10
s15,7,i12
s15,7,i5
s16,1,i1
s16,1,i2
s16,1,i23
s16,1,i3
s16,1,i42
s16,2,i120
s16,2,i3
s16,3,i2
s16,3,i20
s16,3,i4
s16,3,i47
s16,3,i5
s16,4,i2
s16,4,i21
s16,4,i27
s16,4,i50
s16,4,i51
s16,4,i88
s16,5,i12
s16,5,i52
s16,6,i31
s16,6,i5
s16,6,i70
s17,1,i108
s17,1,i5
s17,1,i8
s17,2,i30
s17,3,i1
s17,3,i14
s17,3,i15
s17,3,i25
s17,4,i2
s17,5,i1
s17,5,i10
s17,5,i36
s17,6,i37
s17,6,i5
s17,6,i9
s17,7,i117
s17,7,i87
s17,8,i28
s17,8,i94
s17,9,i15
s17,9,i4
s17,9,i64
s17,10,i11
s17,10,i2
s17,10,i23
s17,11,i4
s17,11,i71
s18,1,i4
s18,1,i5
s18,1,i60
s18,2,i10
s18,2,i13
s18,2,i6
s18,2,i72
s18,3,i11
s18,3,i2
s18,3,i35
s18,3,i5
s18,4,i10
s18,4,i69
s18,4,i9
s18,5,i20
s18,5,i21
s18,5,i30
s18,5,i37
s18,5,i58
s18,5,i8
s18,6,i1
s18,6,i14
s18,6,i22
s18,7,i10
s18,7,i73
s18,7,i74
s18,8,i1
s18,8,i108
s18,8,i2
s18,8,i51
s18,8,i73
s18,9,i29
s18,9,i35
s18,9,i6
s18,10,i102
s18,10,i13
s18,10,i26
s18,10,i78
s18,11,i3
s18,12,i10
s18,12,i119
s18,12,i27
s18,12,i44
s18,13,i10
s18,14,i1
s19,1,i1
s19,1,i19
s19,1,i2
s19,1,i53
s19,2,i14
s19,2,i21
s19,3,i11
s19,3,i31
s19,3,i82
s19,4,i10
s19,4,i2
s19,4,i32
s19,5,i27
s19,5,i3
s19,5,i9
s19,6,i120
s19,6,i68
s19,6,i7
s19,7,i117
s19,7,i20
s19,7,i4
s19,8,i19
s19,8,i23
s19,8,i34
s19,8,i4
s19,8,i44
s19,9,i3
s19,9,i50
s19,9,i63
s19,9,i83
s19,10,i25
s19,10,i27
s19,11,i26
s19,11,i84
s19,12,i1
s19,12,i53
s19,12,i7
s19,12,i86
s19,13,i2
s19,13,i44
s19,14,i16
s19,14,i62
s19,14,i87
s20,1,i1
s20,1,i44
s20,1,i6
s20,2,i3
s20,2,i45
s20,3,i107
s20,3,i17
s20,3,i53
s20,3,i56
s20,3,i7
s20,4,i4
s20,4,i44
s20,4,i7
s20,5,i1
s20,5,i3
s20,6,i1
s20,6,i3
s20,6,i87
s20,7,i1
s20,7,i119
s20,7,i29
s20,8,i1
s20,9,i7
s20,9,i8
s20,10,i21
s20,10,i29
s20,10,i40
s20,10,i78
s20,11,i3
s20,11,i34
s20,11,i4
s20,11,i96
s20,12,i1
s20,12,i69
s20,13,i1
s20,13,i107
s20,13,i4
s21,1,i1
s21,1,i2
s21,1,i22
s21,1,i28
s21,1,i52
s21,2,i116
s21,2,i3
s21,2,i52
s21,3,i21
s21,3,i4
s21,3,i5
s21,3,i58
s21,4,i22
s21,4,i53
s21,5,i115
s21,5,i17
s21,6,i1
s21,6,i30
s21,7,i1
s21,7,i22
s22,1,i1
s22,1,i14
s22,1,i15
s22,1,i50
s22,2,i40
s22,3,i1
s22,3,i105
