transaction_id,item
t1,i1
t1,i10
t1,i11
t1,i14
t1,i2
t1,i3
t1,i4
t1,i8
t1,i9
t2,i16
t2,i3
t2,i9
t3,i11
t3,i12
t3,i15
t3,i16
t3,i17
t4,i15
t4,i16
t4,i19
t4,i2
t4,i22
t4,i4
t4,i8
t5,i11
t5,i14
t5,i9
t6,i1
t6,i2
t6,i3
t6,i4
t6,i5
t6,i6
t6,i7
t6,i8
t7,i11
t7,i14
t7,i19
t7,i20
t7,i6
t7,i8
t7,i9
t8,i1
t8,i10
t8,i13
t8,i2
t8,i22
t8,i4
t8,i8
t9,i11
t9,i14
t9,i9
t10,i5
t10,i6
t10,i7
t10,i8
t11,i14
t11,i19
t11,i6
t12,i11
t12,i14
t12,i8
t12,i9
t13,i11
t13,i14
t13,i8
t13,i9
t14,i11
t14,i14
t14,i15
t14,i16
t14,i9
t15,i15
t15,i5
t15,i6
t15,i7
t15,i8
t16,i12
t16,i20
t16,i22
t17,i1
t17,i2
t17,i3
t17,i4
t17,i5
t17,i6
t17,i7
t17,i8
t18,i15
t18,i16
t18,i17
t18,i5
t18,i6
t18,i7
t18,i8
t18,i9
t19,i1
t19,i20
t19,i22
t20,i11
t20,i14
t20,i20
t20,i5
t20,i6
t20,i8
t20,i9
t21,i11
t21,i14
t21,i4
t21,i8
t21,i9
t22,i1
t22,i2
t22,i4
t22,i5
t22,i6
t22,i7
t22,i8
t23,i11
t23,i12
t23,i16
t23,i21
t23,i3
t23,i6
t24,i5
t24,i7
t24,i8
t25,i11
t25,i12
t25,i14
t25,i5
t25,i6
t25,i7
t25,i8
t25,i9
t26,i14
t26,i2
t26,i5
t26,i9
t27,i11
t27,i14
t27,i20
t27,i22
t27,i5
t27,i8
t27,i9
t28,i1
t28,i15
t28,i17
t28,i2
t28,i20
t28,i3
t28,i4
t28,i6
t29,i10
t29,i5
t29,i6
t29,i7
t29,i8
t30,i11
t30,i14
t30,i20
t30,i22
t30,i8
t30,i9
t31,i20
t31,i21
t31,i22
t32,i1
t32,i11
t32,i14
t32,i2
t32,i3
t32,i4
t32,i8
t32,i9
t33,i11
t33,i15
t33,i19
t33,i8
t34,i1
t34,i16
t34,i20
t34,i7
t35,i1
t35,i3
t35,i8
t35,i9
t36,i16
t36,i2
t36,i5
t36,i6
t36,i8
t37,i20
t37,i21
t37,i22
t37,i4
t37,i5
t37,i6
t38,i1
t38,i11
t38,i17
t38,i20
t38,i4
t38,i9
t39,i11
t39,i14
t39,i9
t40,i15
t40,i16
t40,i17
t40,i4
t40,i8
t41,i11
t41,i13
t41,i15
t41,i16
t41,i21
t41,i7
t41,i9
t42,i1
t42,i15
t42,i16
t42,i17
t42,i3
t42,i4
t43,i11
t43,i14
t43,i15
t43,i3
t43,i8
t43,i9
t44,i1
t44,i15
t44,i17
t44,i18
t44,i5
t44,i9
t45,i10
t45,i16
t45,i18
t45,i19
t45,i3
t45,i5
t45,i6
t45,i9
t46,i15
t46,i17
t46,i3
t46,i5
t47,i1
t47,i11
t47,i20
t47,i21
t47,i6
t47,i8
t47,i9
t48,i1
t48,i15
t48,i3
t48,i7
t48,i8
t48,i9
t49,i1
t49,i2
t49,i4
t49,i5
t49,i6
t49,i7
t49,i8
t50,i11
t50,i14
t50,i21
t50,i5
t50,i6
t50,i8
t50,i9
t51,i1
t51,i2
t51,i3
t51,i4
t52,i1
t52,i11
t52,i14
t52,i2
t52,i3
t52,i4
t52,i8
t52,i9
t53,i1
t53,i2
t53,i3
t53,i4
t54,i11
t54,i14
t54,i5
t54,i6
t54,i7
t54,i8
t54,i9
t55,i11
t55,i15
t55,i16
t55,i17
t55,i5
t55,i6
t55,i7
t55,i8
