sequence,support_count,support
<{51}>,31,0.310000
<{52}>,33,0.330000
<{57}>,30,0.300000
<{58}>,34,0.340000
<{6}>,32,0.320000
<{61}>,30,0.300000
<{68}>,30,0.300000
"<{1},{10}>",48,0.480000
"<{1},{11}>",48,0.480000
"<{1},{110}>",35,0.350000
"<{1},{113}>",42,0.420000
"<{1},{114}>",42,0.420000
"<{1},{117}>",69,0.690000
"<{1},{118}>",49,0.490000
"<{1},{12}>",37,0.370000
"<{1},{13}>",37,0.370000
"<{1},{132}>",67,0.670000
"<{1},{133}>",57,0.570000
"<{1},{139}>",33,0.330000
"<{1},{14}>",42,0.420000
"<{1},{143}>",69,0.690000
"<{1},{144}>",52,0.520000
"<{1},{15}>",36,0.360000
"<{1},{16}>",38,0.380000
"<{1},{17}>",57,0.570000
"<{1},{18}>",62,0.620000
"<{1},{19}>",42,0.420000
"<{1},{20}>",38,0.380000
"<{1},{21}>",44,0.440000
"<{1},{22}>",56,0.560000
"<{1},{23}>",57,0.570000
"<{1},{24}>",40,0.400000
"<{1},{245}>",98,0.980000
"<{1},{246}>",50,0.500000
"<{1},{25}>",32,0.320000
"<{1},{253}>",91,0.910000
"<{1},{26}>",62,0.620000
"<{1},{27}>",82,0.820000
"<{1},{28}>",40,0.400000
"<{1},{29}>",40,0.400000
"<{1},{30}>",35,0.350000
"<{1},{31}>",38,0.380000
"<{1},{32}>",41,0.410000
"<{1},{33}>",37,0.370000
"<{1},{34}>",35,0.350000
"<{1},{35}>",58,0.580000
"<{1},{36}>",43,0.430000
"<{1},{37}>",43,0.430000
"<{1},{38}>",36,0.360000
"<{1},{39}>",38,0.380000
"<{1},{4}>",34,0.340000
"<{1},{40}>",37,0.370000
"<{1},{41}>",49,0.490000
"<{1},{42}>",33,0.330000
"<{1},{43}>",32,0.320000
"<{1},{44}>",36,0.360000
"<{1},{45}>",36,0.360000
"<{1},{46}>",50,0.500000
"<{1},{47}>",33,0.330000
"<{1},{48}>",35,0.350000
"<{1},{49}>",36,0.360000
"<{1},{5}>",33,0.330000
"<{1},{50}>",35,0.350000
"<{1},{53}>",40,0.400000
"<{1},{65}>",30,0.300000
"<{1},{8}>",42,0.420000
"<{1},{9}>",54,0.540000
"<{10},{117}>",42,0.420000
"<{10},{118}>",30,0.300000
