rule,antecedent,consequent,support,confidence,lift,support_count_xy,support_count_x,support_count_y
i115 i72 → i81,i115 i72,i81,0.003866,0.402778,6.115863,29,72,494
i100 i107 → i55,i100 i107,i55,0.003066,0.489362,4.980600,23,47,737
i49 i59 → i55,i49 i59,i55,0.002800,0.466667,4.749616,21,45,737
i100 i59 i72 → i55,i100 i59 i72,i55,0.002800,0.466667,4.749616,21,45,737
i107 i72 → i55,i107 i72,i55,0.002666,0.465116,4.733836,20,43,737
i43 i59 → i55,i43 i59,i55,0.003200,0.461538,4.697422,24,52,737
i100 i21 → i55,i100 i21,i55,0.003066,0.460000,4.681764,23,50,737
i49 i72 i99 → i71,i49 i72 i99,i71,0.003066,0.605263,4.670863,23,38,972
i25 i55 i71 → i49,i25 i55 i71,i49,0.002666,0.434783,4.561265,20,46,715
i25 i59 → i55,i25 i59,i55,0.003999,0.441176,4.490183,30,68,737
i25 i72 i97 → i49,i25 i72 i97,i49,0.003200,0.421053,4.417225,24,57,715
i59 i97 → i55,i59 i97,i55,0.002933,0.415094,4.224725,22,53,737
i49 i72 i81 → i71,i49 i72 i81,i71,0.003333,0.510204,3.937285,25,49,972
i21 i55 → i100,i21 i55,i100,0.003066,0.676471,3.885303,23,34,1306
i23 i81 → i71,i23 i81,i71,0.003600,0.500000,3.858539,27,54,972
i49 i99 → i71,i49 i99,i71,0.003999,0.500000,3.858539,30,60,972
i100 i48 i72 → i71,i100 i48 i72,i71,0.003200,0.470588,3.631566,24,51,972
i15 i30 → i54,i15 i30,i54,0.002666,0.476190,3.604344,20,42,991
i100 i37 i49 → i71,i100 i37 i49,i71,0.002666,0.465116,3.589339,20,43,972
i25 i49 i55 → i71,i25 i49 i55,i71,0.002666,0.465116,3.589339,20,43,972
i100 i15 i25 → i71,i100 i15 i25,i71,0.002933,0.458333,3.536994,22,48,972
i108 i81 → i100,i108 i81,i100,0.004399,0.611111,3.509912,33,54,1306
i100 i115 → i71,i100 i115,i71,0.003999,0.454545,3.507763,30,66,972
i37 i72 i81 → i71,i37 i72 i81,i71,0.002666,0.454545,3.507763,20,44,972
i72 i81 i82 → i100,i72 i81 i82,i100,0.002800,0.600000,3.446095,21,35,1306
i23 i99 → i71,i23 i99,i71,0.002666,0.444444,3.429813,20,45,972
i108 i99 → i71,i108 i99,i71,0.003066,0.442308,3.413323,23,52,972
i100 i25 i49 → i71,i100 i25 i49,i71,0.003466,0.440678,3.400746,26,59,972
i55 i72 i97 → i100,i55 i72 i97,i100,0.002933,0.578947,3.325179,22,38,1306
i107 i55 → i100,i107 i55,i100,0.003066,0.575000,3.302508,23,40,1306
i31 i55 → i100,i31 i55,i100,0.004799,0.571429,3.281995,36,63,1306
i49 i81 → i71,i49 i81,i71,0.004799,0.423529,3.268410,36,85,972
i25 i89 → i100,i25 i89,i100,0.002800,0.567568,3.259820,21,37,1306
i108 i55 i72 → i100,i108 i55 i72,i100,0.003066,0.560976,3.221959,23,41,1306
i49 i71 i99 → i72,i49 i71 i99,i72,0.003066,0.766667,3.216312,23,30,1788
i100 i4 → i71,i100 i4,i71,0.003333,0.416667,3.215449,25,60,972
i100 i110 i72 → i71,i100 i110 i72,i71,0.002666,0.416667,3.215449,20,48,972
i31 i49 → i71,i31 i49,i71,0.002800,0.411765,3.177620,21,51,972
i37 i49 i72 → i71,i37 i49 i72,i71,0.003733,0.411765,3.177620,28,68,972
