rule,antecedent_human,consequent_human,support,confidence,lift,support_count_xy,support_count_x,support_count_y
whole wheat pasta + mineral water → olive oil,whole wheat pasta + mineral water,olive oil,0.003866,0.402778,6.115863,29,72,494
spaghetti + tomato sauce → ground beef,spaghetti + tomato sauce,ground beef,0.003066,0.489362,4.980600,23,47,737
frozen vegetables + herb & pepper → ground beef,frozen vegetables + herb & pepper,ground beef,0.002800,0.466667,4.749616,21,45,737
spaghetti + herb & pepper + mineral water → ground beef,spaghetti + herb & pepper + mineral water,ground beef,0.002800,0.466667,4.749616,21,45,737
tomato sauce + mineral water → ground beef,tomato sauce + mineral water,ground beef,0.002666,0.465116,4.733836,20,43,737
french fries + herb & pepper → ground beef,french fries + herb & pepper,ground beef,0.003200,0.461538,4.697422,24,52,737
spaghetti + cereals → ground beef,spaghetti + cereals,ground beef,0.003066,0.460000,4.681764,23,50,737
frozen vegetables + mineral water + soup → milk,frozen vegetables + mineral water + soup,milk,0.003066,0.605263,4.670863,23,38,972
chocolate + ground beef + milk → frozen vegetables,chocolate + ground beef + milk,frozen vegetables,0.002666,0.434783,4.561265,20,46,715
chocolate + herb & pepper → ground beef,chocolate + herb & pepper,ground beef,0.003999,0.441176,4.490183,30,68,737
chocolate + mineral water + shrimp → frozen vegetables,chocolate + mineral water + shrimp,frozen vegetables,0.003200,0.421053,4.417225,24,57,715
herb & pepper + shrimp → ground beef,herb & pepper + shrimp,ground beef,0.002933,0.415094,4.224725,22,53,737
frozen vegetables + mineral water + olive oil → milk,frozen vegetables + mineral water + olive oil,milk,0.003333,0.510204,3.937285,25,49,972
cereals + ground beef → spaghetti,cereals + ground beef,spaghetti,0.003066,0.676471,3.885303,23,34,1306
chicken + olive oil → milk,chicken + olive oil,milk,0.003600,0.500000,3.858539,27,54,972
frozen vegetables + soup → milk,frozen vegetables + soup,milk,0.003999,0.500000,3.858539,30,60,972
spaghetti + frozen smoothie + mineral water → milk,spaghetti + frozen smoothie + mineral water,milk,0.003200,0.470588,3.631566,24,51,972
burgers + cookies → green tea,burgers + cookies,green tea,0.002666,0.476190,3.604344,20,42,991
spaghetti + eggs + frozen vegetables → milk,spaghetti + eggs + frozen vegetables,milk,0.002666,0.465116,3.589339,20,43,972
chocolate + frozen vegetables + ground beef → milk,chocolate + frozen vegetables + ground beef,milk,0.002666,0.465116,3.589339,20,43,972
spaghetti + burgers + chocolate → milk,spaghetti + burgers + chocolate,milk,0.002933,0.458333,3.536994,22,48,972
tomatoes + olive oil → spaghetti,tomatoes + olive oil,spaghetti,0.004399,0.611111,3.509912,33,54,1306
spaghetti + whole wheat pasta → milk,spaghetti + whole wheat pasta,milk,0.003999,0.454545,3.507763,30,66,972
eggs + mineral water + olive oil → milk,eggs + mineral water + olive oil,milk,0.002666,0.454545,3.507763,20,44,972
mineral water + olive oil + pancakes → spaghetti,mineral water + olive oil + pancakes,spaghetti,0.002800,0.600000,3.446095,21,35,1306
chicken + soup → milk,chicken + soup,milk,0.002666,0.444444,3.429813,20,45,972
tomatoes + soup → milk,tomatoes + soup,milk,0.003066,0.442308,3.413323,23,52,972
spaghetti + chocolate + frozen vegetables → milk,spaghetti + chocolate + frozen vegetables,milk,0.003466,0.440678,3.400746,26,59,972
ground beef + mineral water + shrimp → spaghetti,ground beef + mineral water + shrimp,spaghetti,0.002933,0.578947,3.325179,22,38,1306
tomato sauce + ground beef → spaghetti,tomato sauce + ground beef,spaghetti,0.003066,0.575000,3.302508,23,40,1306
cooking oil + ground beef → spaghetti,cooking oil + ground beef,spaghetti,0.004799,0.571429,3.281995,36,63,1306
frozen vegetables + olive oil → milk,frozen vegetables + olive oil,milk,0.004799,0.423529,3.268410,36,85,972
chocolate + red wine → spaghetti,chocolate + red wine,spaghetti,0.002800,0.567568,3.259820,21,37,1306
tomatoes + ground beef + mineral water → spaghetti,tomatoes + ground beef + mineral water,spaghetti,0.003066,0.560976,3.221959,23,41,1306
frozen vegetables + milk + soup → mineral water,frozen vegetables + milk + soup,mineral water,0.003066,0.766667,3.216312,23,30,1788
spaghetti + avocado → milk,spaghetti + avocado,milk,0.003333,0.416667,3.215449,25,60,972
