itemset,support_count,support
i1,153,0.020397
i10,86,0.011465
i100,1306,0.174110
i101,47,0.006266
i102,53,0.007066
i103,160,0.021330
i104,58,0.007732
i105,29,0.003866
i106,228,0.030396
i107,106,0.014131
i108,513,0.068391
i109,61,0.008132
i110,469,0.062525
i111,193,0.025730
i113,124,0.016531
i114,70,0.009332
i115,221,0.029463
i116,439,0.058526
i117,86,0.011465
i118,205,0.027330
i119,71,0.009465
i12,253,0.033729
i13,65,0.008666
i14,44,0.005866
i15,654,0.087188
i16,226,0.030129
i17,608,0.081056
i18,73,0.009732
i19,115,0.015331
i2,67,0.008932
i20,36,0.004799
i21,193,0.025730
i22,351,0.046794
i23,450,0.059992
i24,46,0.006133
i25,1229,0.163845
i26,32,0.004266
i27,31,0.004133
i28,79,0.010532
i29,63,0.008399
i3,36,0.004799
i30,603,0.080389
i31,383,0.051060
i32,36,0.004799
i33,239,0.031862
i35,33,0.004399
i36,99,0.013198
i37,1348,0.179709
i38,203,0.027063
i39,200,0.026663
i4,250,0.033329
i40,595,0.079323
i41,90,0.011998
i42,68,0.009065
i43,1282,0.170911
i44,169,0.022530
i45,323,0.043061
i46,167,0.022264
i47,102,0.013598
i48,475,0.063325
i49,715,0.095321
i5,34,0.004533
i50,52,0.006932
i51,393,0.052393
i52,65,0.008666
i53,68,0.009065
i54,991,0.132116
i55,737,0.098254
i56,101,0.013465
i57,199,0.026530
i58,39,0.005199
i59,371,0.049460
i6,65,0.008666
i60,356,0.047460
i61,243,0.032396
i62,33,0.004399
i63,117,0.015598
i64,204,0.027196
i65,574,0.076523
i66,82,0.010932
i67,31,0.004133
i68,46,0.006133
i69,157,0.020931
i7,81,0.010799
i70,90,0.011998
i71,972,0.129583
i72,1788,0.238368
i73,131,0.017464
i74,42,0.005599
i75,181,0.024130
i76,143,0.019064
i78,78,0.010399
i79,33,0.004399
i8,107,0.014265
i80,173,0.023064
i81,494,0.065858
i82,713,0.095054
i83,149,0.019864
i84,118,0.015731
i85,199,0.026530
i86,49,0.006532
i87,45,0.005999
i88,139,0.018531
i89,211,0.028130
i9,69,0.009199
i90,141,0.018797
i91,37,0.004933
i92,319,0.042528
i93,69,0.009199
i94,34,0.004533
i95,58,0.007732
i96,37,0.004933
i97,536,0.071457
i98,47,0.006266
i99,379,0.050527
i1 i100,45,0.005999
i1 i15,39,0.005199
i1 i17,23,0.003066
i1 i25,45,0.005999
i1 i37,49,0.006532
i1 i43,33,0.004399
i1 i48,21,0.002800
i1 i49,23,0.003066
i1 i54,38,0.005066
i1 i55,29,0.003866
i1 i71,39,0.005199
i1 i72,57,0.007599
i1 i81,22,0.002933
i1 i82,23,0.003066
i10 i100,20,0.002666
i10 i43,32,0.004266
i10 i72,31,0.004133
i100 i103,31,0.004133
i100 i104,28,0.003733
i100 i106,56,0.007466
i100 i107,47,0.006266
i100 i108,157,0.020931
i100 i110,124,0.016531
i100 i111,42,0.005599
i100 i113,34,0.004533
i100 i115,66,0.008799
i100 i116,106,0.014131
i100 i118,29,0.003866
i100 i119,23,0.003066
i100 i12,55,0.007332
i100 i13,20,0.002666
i100 i15,161,0.021464
i100 i16,47,0.006266
i100 i17,136,0.018131
i100 i19,35,0.004666
i100 i21,50,0.006666
i100 i22,50,0.006666
i100 i23,129,0.017198
i100 i25,294,0.039195
i100 i30,60,0.007999
i100 i31,119,0.015865
i100 i33,52,0.006932
i100 i36,29,0.003866
i100 i37,274,0.036528
i100 i38,33,0.004399
i100 i39,32,0.004266
i100 i4,60,0.007999
i100 i40,105,0.013998
i100 i41,31,0.004133
i100 i43,207,0.027596
i100 i44,58,0.007732
i100 i45,68,0.009065
i100 i46,51,0.006799
i100 i47,28,0.003733
i100 i48,117,0.015598
i100 i49,209,0.027863
i100 i51,124,0.016531
i100 i52,26,0.003466
i100 i54,199,0.026530
i100 i55,294,0.039195
i100 i56,23,0.003066
i100 i57,69,0.009199
i100 i59,122,0.016264
i100 i6,24,0.003200
i100 i60,89,0.011865
i100 i61,65,0.008666
i100 i63,40,0.005333
i100 i64,29,0.003866
i100 i65,114,0.015198
i100 i69,48,0.006399
i100 i71,266,0.035462
i100 i72,448,0.059725
i100 i73,30,0.003999
i100 i75,27,0.003600
i100 i76,32,0.004266
i100 i78,25,0.003333
i100 i8,34,0.004533
i100 i80,43,0.005733
i100 i81,172,0.022930
i100 i82,189,0.025197
i100 i83,51,0.006799
i100 i85,74,0.009865
i100 i88,38,0.005066
i100 i89,77,0.010265
i100 i9,26,0.003466
i100 i90,38,0.005066
i100 i92,101,0.013465
i100 i97,159,0.021197
i100 i99,107,0.014265
i102 i72,20,0.002666
i103 i25,26,0.003466
i103 i37,28,0.003733
i103 i43,43,0.005733
i103 i54,26,0.003466
i103 i72,38,0.005066
i104 i72,24,0.003200
i106 i108,27,0.003600
i106 i110,24,0.003200
i106 i15,25,0.003333
i106 i17,29,0.003866
i106 i23,25,0.003333
i106 i25,44,0.005866
i106 i31,22,0.002933
i106 i37,38,0.005066
i106 i43,53,0.007066
i106 i45,32,0.004266
i106 i48,28,0.003733
i106 i49,37,0.004933
i106 i54,47,0.006266
i106 i55,27,0.003600
i106 i60,21,0.002800
i106 i65,27,0.003600
i106 i71,43,0.005733
i106 i72,72,0.009599
i106 i81,21,0.002800
i106 i82,37,0.004933
i106 i97,27,0.003600
i106 i99,21,0.002800
i107 i25,38,0.005066
i107 i37,20,0.002666
i107 i55,40,0.005333
i107 i71,22,0.002933
i107 i72,43,0.005733
i107 i81,21,0.002800
i108 i110,49,0.006532
i108 i111,24,0.003200
i108 i116,45,0.005999
i108 i12,22,0.002933
i108 i15,62,0.008266
i108 i16,23,0.003066
i108 i17,63,0.008399
i108 i22,20,0.002666
i108 i23,48,0.006399
i108 i25,105,0.013998
i108 i30,22,0.002933
i108 i31,50,0.006666
i108 i37,92,0.012265
i108 i4,26,0.003466
i108 i40,41,0.005466
i108 i43,90,0.011998
i108 i45,35,0.004666
i108 i46,21,0.002800
i108 i48,49,0.006532
i108 i49,121,0.016131
i108 i51,33,0.004399
i108 i54,92,0.012265
i108 i55,88,0.011732
i108 i59,33,0.004399
i108 i60,40,0.005333
i108 i61,20,0.002666
i108 i65,45,0.005999
i108 i69,29,0.003866
i108 i71,105,0.013998
i108 i72,183,0.024397
i108 i81,54,0.007199
i108 i82,74,0.009865
i108 i83,24,0.003200
