itemset_human,support_count,support
almonds,153,0.020397
body spray,86,0.011465
spaghetti,1306,0.174110
sparkling water,47,0.006266
spinach,53,0.007066
strawberries,160,0.021330
strong cheese,58,0.007732
tea,29,0.003866
tomato juice,228,0.030396
tomato sauce,106,0.014131
tomatoes,513,0.068391
toothpaste,61,0.008132
turkey,469,0.062525
vegetables mix,193,0.025730
white wine,124,0.016531
whole weat flour,70,0.009332
whole wheat pasta,221,0.029463
whole wheat rice,439,0.058526
yams,86,0.011465
yogurt cake,205,0.027330
zucchini,71,0.009465
brownies,253,0.033729
bug spray,65,0.008666
burger sauce,44,0.005866
burgers,654,0.087188
butter,226,0.030129
cake,608,0.081056
candy bars,73,0.009732
carrots,115,0.015331
antioxydant juice,67,0.008932
cauliflower,36,0.004799
cereals,193,0.025730
champagne,351,0.046794
chicken,450,0.059992
chili,46,0.006133
chocolate,1229,0.163845
chocolate bread,32,0.004266
chutney,31,0.004133
cider,79,0.010532
clothes accessories,63,0.008399
asparagus,36,0.004799
cookies,603,0.080389
cooking oil,383,0.051060
corn,36,0.004799
cottage cheese,239,0.031862
dessert wine,33,0.004399
eggplant,99,0.013198
eggs,1348,0.179709
energy bar,203,0.027063
energy drink,200,0.026663
avocado,250,0.033329
escalope,595,0.079323
extra dark chocolate,90,0.011998
flax seed,68,0.009065
french fries,1282,0.170911
french wine,169,0.022530
fresh bread,323,0.043061
fresh tuna,167,0.022264
fromage blanc,102,0.013598
frozen smoothie,475,0.063325
frozen vegetables,715,0.095321
babies food,34,0.004533
gluten free bar,52,0.006932
grated cheese,393,0.052393
green beans,65,0.008666
green grapes,68,0.009065
green tea,991,0.132116
ground beef,737,0.098254
gums,101,0.013465
ham,199,0.026530
hand protein bar,39,0.005199
herb & pepper,371,0.049460
bacon,65,0.008666
honey,356,0.047460
hot dogs,243,0.032396
ketchup,33,0.004399
light cream,117,0.015598
light mayo,204,0.027196
low fat yogurt,574,0.076523
magazines,82,0.010932
mashed potato,31,0.004133
mayonnaise,46,0.006133
meatballs,157,0.020931
barbecue sauce,81,0.010799
melons,90,0.011998
milk,972,0.129583
mineral water,1788,0.238368
mint,131,0.017464
mint green tea,42,0.005599
muffins,181,0.024130
mushroom cream sauce,143,0.019064
nonfat milk,78,0.010399
oatmeal,33,0.004399
black tea,107,0.014265
oil,173,0.023064
olive oil,494,0.065858
pancakes,713,0.095054
parmesan cheese,149,0.019864
pasta,118,0.015731
pepper,199,0.026530
pet food,49,0.006532
pickles,45,0.005999
protein bar,139,0.018531
red wine,211,0.028130
blueberries,69,0.009199
rice,141,0.018797
salad,37,0.004933
salmon,319,0.042528
salt,69,0.009199
sandwich,34,0.004533
shallot,58,0.007732
shampoo,37,0.004933
shrimp,536,0.071457
soda,47,0.006266
soup,379,0.050527
"almonds, spaghetti",45,0.005999
"almonds, burgers",39,0.005199
"almonds, cake",23,0.003066
"almonds, chocolate",45,0.005999
"almonds, eggs",49,0.006532
"almonds, french fries",33,0.004399
"almonds, frozen smoothie",21,0.002800
"almonds, frozen vegetables",23,0.003066
"almonds, green tea",38,0.005066
"almonds, ground beef",29,0.003866
"almonds, milk",39,0.005199
"almonds, mineral water",57,0.007599
"almonds, olive oil",22,0.002933
"almonds, pancakes",23,0.003066
"body spray, spaghetti",20,0.002666
"body spray, french fries",32,0.004266
"body spray, mineral water",31,0.004133
"spaghetti, strawberries",31,0.004133
"spaghetti, strong cheese",28,0.003733
"spaghetti, tomato juice",56,0.007466
"spaghetti, tomato sauce",47,0.006266
"spaghetti, tomatoes",157,0.020931
"spaghetti, turkey",124,0.016531
"spaghetti, vegetables mix",42,0.005599
"spaghetti, white wine",34,0.004533
"spaghetti, whole wheat pasta",66,0.008799
"spaghetti, whole wheat rice",106,0.014131
"spaghetti, yogurt cake",29,0.003866
"spaghetti, zucchini",23,0.003066
"spaghetti, brownies",55,0.007332
"spaghetti, bug spray",20,0.002666
"spaghetti, burgers",161,0.021464
"spaghetti, butter",47,0.006266
"spaghetti, cake",136,0.018131
"spaghetti, carrots",35,0.004666
"spaghetti, cereals",50,0.006666
