sequence_id,pos,item
s1,1,5
s1,2,15
s1,3,23
s1,4,8
s1,5,9
s1,6,28
s1,7,13
s1,8,38
s1,9,66
s1,10,14
s1,11,29
s1,12,32
s1,13,17
s1,14,26
s1,15,33
s1,16,18
s1,17,77
s1,18,22
s1,19,4
s1,20,27
s1,21,41
s1,22,35
s1,23,114
s1,24,1
s1,25,118
s1,26,132
s1,27,78
s1,28,136
s1,29,71
s1,30,76
s1,31,137
s1,32,25
s1,33,34
s1,34,143
s1,35,69
s1,36,144
s1,37,47
s1,38,245
s1,39,58
s1,40,246
s1,41,24
s1,42,253
s1,43,42
s1,44,51
s2,1,4
s2,2,13
s2,3,65
s2,4,8
s2,5,7
s2,6,9
s2,7,77
s2,8,22
s2,9,68
s2,10,26
s2,11,2
s2,12,27
s2,13,46
s2,14,38
s2,15,70
s2,16,53
s2,17,32
s2,18,113
s2,19,117
s2,20,118
s2,21,132
s2,22,67
s2,23,133
s2,24,66
s2,25,136
s2,26,71
s2,27,143
s2,28,5
s2,29,195
s2,30,245
s2,31,36
s2,32,37
s2,33,246
s2,34,10
s2,35,16
s2,36,250
s2,37,42
s2,38,253
s2,39,20
s2,40,25
s2,41,28
s2,42,30
s3,1,4
s3,2,42
s3,3,60
s3,4,5
s3,5,8
s3,6,21
s3,7,1
s3,8,36
s3,9,9
s3,10,26
s3,11,72
s3,12,10
s3,13,41
s3,14,63
s3,15,14
s3,16,29
s3,17,17
s3,18,37
s3,19,18
s3,20,22
s3,21,44
s3,22,66
s3,23,23
s3,24,40
s3,25,27
s3,26,25
s3,27,46
s3,28,64
s3,29,53
s3,30,35
s3,31,113
s3,32,114
s3,33,117
s3,34,118
s3,35,132
s3,36,68
s3,37,133
s3,38,38
s3,39,65
s3,40,136
s3,41,69
s3,42,143
s3,43,195
s3,44,245
s3,45,246
s3,46,12
s3,47,250
s3,48,43
s3,49,54
s3,50,253
s3,51,24
s3,52,28
s3,53,30
s4,1,5
s4,2,15
s4,3,20
s4,4,8
s4,5,1
s4,6,9
s4,7,24
s4,8,40
s4,9,72
s4,10,23
s4,11,16
s4,12,21
s4,13,26
s4,14,38
s4,15,27
s4,16,48
s4,17,66
s4,18,53
s4,19,18
s4,20,113
s4,21,114
s4,22,117
s4,23,22
s4,24,118
s4,25,132
s4,26,65
s4,27,133
s4,28,136
s4,29,67
s4,30,143
s4,31,13
s4,32,144
s4,33,42
s4,34,175
s4,35,36
s4,36,179
s4,37,180
s4,38,191
s4,39,245
s4,40,58
s4,41,64
s4,42,246
s4,43,12
s4,44,253
s4,45,44
s4,46,49
s4,47,51
s4,48,274
s5,1,4
s5,2,8
s5,3,24
s5,4,5
s5,5,69
s5,6,83
